	title	contributor	date	lot	country	city	locationdef	source	basename	ur
5930	[Figure of Barbarossa, Kyffhauser and Monument, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720744.jpg	http://www.loc.gov/item/2002720744/
5931	[Eppstein, Hesse-Nassau, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713927.jpg	http://www.loc.gov/item/2002713927/
5932	[Blue bridge and the Amstel River, Amsterdam, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001698756.jpg	http://www.loc.gov/item/2001698756/
5933	[The great market, Nymegen (i.e. Nijmegen), Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001699517.jpg	http://www.loc.gov/item/2001699517/
5934	[From Riesinrad, Vienna, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708392.jpg	http://www.loc.gov/item/2002708392/
5935	[Brieg, Valais, Alps of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703284.jpg	http://www.loc.gov/item/2001703284/
5936	[Cowes, R. Y. S. club house, Isle of Wight, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708238.jpg	http://www.loc.gov/item/2002708238/
5937	[Piazza dell'Annunziata, Genoa, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700851.jpg	http://www.loc.gov/item/2001700851/
5938	[Eggenthal (i.e., Eggental), Karneid, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711019.jpg	http://www.loc.gov/item/2002711019/
5939	[From the pier, Littlehampton, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696911.jpg	http://www.loc.gov/item/2002696911/
5940	Kairo, la Citadelle	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['cairo']	Egypt	no source	2017657143.jpg	http://www.loc.gov/item/2017657143/
5941	[Thun, general view, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701256.jpg	http://www.loc.gov/item/2001701256/
5942	[General view, Åalesund, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001699452.jpg	http://www.loc.gov/item/2001699452/
5943	[Il Posilippo and waterfront, Naples, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700914.jpg	http://www.loc.gov/item/2001700914/
5944	[Derwentwater, Lodore Hotel, Waterlily Bay, Lake District, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696854.jpg	http://www.loc.gov/item/2002696854/
5945	Twin and Fitzroy Falls, Moss Vale, N.S.W.	['Photoglob Co., publisher']	1890	LOT 14192	['australia']	no city	Australia	no source	2017657840.jpg	http://www.loc.gov/item/2017657840/
5946	[Jersey, Vinchelez Lane, Channel Islands]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696507.jpg	http://www.loc.gov/item/2002696507/
5947	[Ludinsland (i.e. Luginsland), Nuremberg, Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696157.jpg	http://www.loc.gov/item/2002696157/
5948	[East Beach, Helgoland, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713862.jpg	http://www.loc.gov/item/2002713862/
5949	[The school, Bétharram, Pyrenees, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698613.jpg	http://www.loc.gov/item/2001698613/
5950	[Elster Valley Bridge and the Barth Mill, Plauen, Saxony, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720601.jpg	http://www.loc.gov/item/2002720601/
5951	Ouray and Silverton toll road	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008676345.jpg	http://www.loc.gov/item/2008676345/
5952	[General view, Llangollen, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703512.jpg	http://www.loc.gov/item/2001703512/
5953	"Colorado. ""Round up"" in the corral"	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678072.jpg	http://www.loc.gov/item/2008678072/
5954	[Moselle Castle, Coblenz, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714077.jpg	http://www.loc.gov/item/2002714077/
5955	[Cove, Portland, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708054.jpg	http://www.loc.gov/item/2002708054/
5956	[Emsigenalp with Sennhutten, Pilatus, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703142.jpg	http://www.loc.gov/item/2001703142/
5957	[The University, Berlin, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713618.jpg	http://www.loc.gov/item/2002713618/
5958	[Princess Street (i.e. Princes Street), the castle, and Scott Monument, Edinburgh, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001705995.jpg	http://www.loc.gov/item/2001705995/
5959	[Dean Castle, Kilmarnock, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2002695002.jpg	http://www.loc.gov/item/2002695002/
5960	[Pola, Aurea Gate, Istria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710937.jpg	http://www.loc.gov/item/2002710937/
5961	[The Praterstern, Vienna, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708404.jpg	http://www.loc.gov/item/2002708404/
5962	[General view from the east, Bordighera, Riviera]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699281.jpg	http://www.loc.gov/item/2001699281/
5963	Annisquam Light, Gloucester, Mass.	['Detroit Photographic Co.']	1904	LOT 13923	no country	no city	US	no source	2008679663.jpg	http://www.loc.gov/item/2008679663/
5964	[Valley Gardens, I., Harrogate, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696784.jpg	http://www.loc.gov/item/2002696784/
5965	[Hermsdorf, below the Kynast, with the Hochgebirge, Riesengebirge, Germany (i.e., Sobiecin, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720528.jpg	http://www.loc.gov/item/2002720528/
5966	[The arena, interior, Nîmes, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698490.jpg	http://www.loc.gov/item/2001698490/
5967	[General view, Jenin, Holy Land, (i.e., West Bank)]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002724992.jpg	http://www.loc.gov/item/2002724992/
5968	Tannen mit Holzschlagfeld b. Näfels	no contributor	1890	LOT 14194	no country	no city	na	Photochrom print collection	2017656494.jpg	http://www.loc.gov/item/2017656494/
5969	[Cadenabbia, Lake Como, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700781.jpg	http://www.loc.gov/item/2001700781/
5970	Wells Cathedral. Westfront	no contributor	1890	LOT 14184	['great britain']	['wells']	UK	no source	2017659761.jpg	http://www.loc.gov/item/2017659761/
5971	"[Lake Blanc view of the ""Garden,"" Chamonix Valley, France]"	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001697620.jpg	http://www.loc.gov/item/2001697620/
5972	[Schachensee, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696291.jpg	http://www.loc.gov/item/2002696291/
5973	[Interlaken, highway and hotels, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701190.jpg	http://www.loc.gov/item/2001701190/
5974	[General view, Worms, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714132.jpg	http://www.loc.gov/item/2002714132/
5975	[General view, Southend-on-Sea, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708111.jpg	http://www.loc.gov/item/2002708111/
5976	Bombay. Hindoo-temple in the Kalkadevi Road	['Photoglob Co., publisher']	1890	LOT 14192	['india']	['mumbai']	India	no source	2017658170.jpg	http://www.loc.gov/item/2017658170/
5977	[General view, sunset, Carnarvon Castle (i.e. Caernarfon), Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703457.jpg	http://www.loc.gov/item/2001703457/
5978	Western entrance to inner quadrangle, Leland Standford Junior University	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678137.jpg	http://www.loc.gov/item/2008678137/
5979	[Upper Engadine, Ota Bridge, Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703007.jpg	http://www.loc.gov/item/2001703007/
5980	[Drachenburg, Rolandseck and Drachenfels, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714098.jpg	http://www.loc.gov/item/2002714098/
5981	[From Upper Coronini, Herkulesfürdö, Hungary, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710872.jpg	http://www.loc.gov/item/2002710872/
5982	"The ""Paint Pot,"" Yellowstone National Park"	['Photochrom Co.']	1898	LOT 13923	no country	no city	US	no source	2008678249.jpg	http://www.loc.gov/item/2008678249/
5983	[General view, Desenzano, Lake Garda, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700806.jpg	http://www.loc.gov/item/2001700806/
5984	[Hampton Court Palace, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696946.jpg	http://www.loc.gov/item/2002696946/
5985	[Hohenkrahen, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713589.jpg	http://www.loc.gov/item/2002713589/
5986	[Wald, general view, Zurich, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703379.jpg	http://www.loc.gov/item/2001703379/
5987	[Delft Vaart, Rotterdam, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001699540.jpg	http://www.loc.gov/item/2001699540/
5988	[Meiringen, bird's-eye-view, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701344.jpg	http://www.loc.gov/item/2001701344/
5989	[The pier, Ahlbeck, Pomerania, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713970.jpg	http://www.loc.gov/item/2002713970/
5990	[General view from the fort, St. Malo, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698701.jpg	http://www.loc.gov/item/2001698701/
5991	[Eisenach, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720713.jpg	http://www.loc.gov/item/2002720713/
5992	[The Pier from the east, Brighton, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696415.jpg	http://www.loc.gov/item/2002696415/
5993	Lake San Cristoval	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008676312.jpg	http://www.loc.gov/item/2008676312/
5994	[The harbor, II., Kiel, Schleswig-Holstein, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720656.jpg	http://www.loc.gov/item/2002720656/
5995	[Schierke, Hartz, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713835.jpg	http://www.loc.gov/item/2002713835/
5996	[Worlitz Castle and lake, park of Worlitz, Anhalt, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696100.jpg	http://www.loc.gov/item/2002696100/
5997	[The city and the castle, Lourdes, Pyrenees, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698644.jpg	http://www.loc.gov/item/2001698644/
5998	Morning Bath, Whakarewarewa	['Photoglob Co., publisher']	1890	LOT 14192	['new zealand']	no city	New Zealand	no source	2017657817.jpg	http://www.loc.gov/item/2017657817/
5999	[The interior of the Holy Sepulchre, Jerusalem, Holy Land]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002725004.jpg	http://www.loc.gov/item/2002725004/
6000	[Eccleston Ferry, Chester, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696550.jpg	http://www.loc.gov/item/2002696550/
6001	[The quay, Liège, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697948.jpg	http://www.loc.gov/item/2001697948/
6002	[The Vatican II, Rome, Italy ]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700943.jpg	http://www.loc.gov/item/2001700943/
6003	[The pier, Herne Bay, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696803.jpg	http://www.loc.gov/item/2002696803/
6004	[Group of wandering Arabs, Tunis, Tunisia]	no contributor	1899	LOT 13427	no country	no city	Tunisia	Views of architecture and people in Tunisia	2001699405.jpg	http://www.loc.gov/item/2001699405/
6005	[Jungfrau, Monch and Eiger, from Heimwehfluh, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701201.jpg	http://www.loc.gov/item/2001701201/
6006	[A girl of the Black Forest, Black Forest, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713566.jpg	http://www.loc.gov/item/2002713566/
6007	[The beach from the pier, Worthing, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708280.jpg	http://www.loc.gov/item/2002708280/
6008	[From North Pier, Blackpool, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696383.jpg	http://www.loc.gov/item/2002696383/
6009	[Drifting ice, Spitzbergen, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001700739.jpg	http://www.loc.gov/item/2001700739/
6010	[Eyam Church, Derbyshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696679.jpg	http://www.loc.gov/item/2002696679/
6011	Cambridge, England: Trinity College	no contributor	[no date recorded on caption card]	LOT 14184	['england']	['cambridge']	UK	no source	2002715631.jpg	http://www.loc.gov/item/2002715631/
6012	[Ducal Castel, Hinteriss, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696229.jpg	http://www.loc.gov/item/2002696229/
6013	Mt. Ampersand from Round Lake, Adirondack Mountains	['Detroit Photographic Co.']	1902	LOT 13923	no country	no city	US	no source	2008679634.jpg	http://www.loc.gov/item/2008679634/
6014	[Zell on the lake (i.e., Zell am See) from the Steinernes Meer, Austria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708453.jpg	http://www.loc.gov/item/2002708453/
6015	[Brunig Spring House, the Faulhorn, Brunig, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701128.jpg	http://www.loc.gov/item/2001701128/
6016	[Fluelen, general view, Lake Lucerne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703115.jpg	http://www.loc.gov/item/2001703115/
6017	[Castle Hellbrun (i.e., Hellbrunn), Salzburg, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710960.jpg	http://www.loc.gov/item/2002710960/
6018	[Beach and ladies' bathing place, Margate, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697068.jpg	http://www.loc.gov/item/2002697068/
6019	[Castle from tower, Stirling, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2002695055.jpg	http://www.loc.gov/item/2002695055/
6020	[Harbor, Venice, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001701082.jpg	http://www.loc.gov/item/2001701082/
6021	[Cranz, near Konigsberg, East Prussia, Germany (i.e., Kaliningrad, Kaliningradskai︠a︡ oblastʹ, Russia)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714020.jpg	http://www.loc.gov/item/2002714020/
6022	[The Memorial Arch, New Brompton, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708003.jpg	http://www.loc.gov/item/2002708003/
6023	Mitre Peak. Milford Sound II	['Photoglob Co., publisher']	1890	LOT 14192	['new zealand']	no city	New Zealand	no source	2017658062.jpg	http://www.loc.gov/item/2017658062/
6024	[Cathedral, St. Asaph, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703545.jpg	http://www.loc.gov/item/2001703545/
6025	[Glacier garden, the grotto and club house, Lucerne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703050.jpg	http://www.loc.gov/item/2001703050/
6026	[Spalato, the docks, Dalmatia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710825.jpg	http://www.loc.gov/item/2002710825/
6027	Thèbes, Ramesseum. Statues Orisis et les colonnes du temple	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['thebes (extinct city)']	Egypt	no source	2017656990.jpg	http://www.loc.gov/item/2017656990/
6028	[Bardo, the lion staircase, Tunis, Tunisia]	no contributor	1899	LOT 13427	no country	no city	Tunisia	Views of architecture and people in Tunisia	2001699393.jpg	http://www.loc.gov/item/2001699393/
6029	[General view, Aberdovey, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703400.jpg	http://www.loc.gov/item/2001703400/
